l1,l2,l3
230.79999999999993,230.67899999999992,230.40600000000006
233.09549999999973,232.68499999999983,232.11699999999982
233.423,233.22000000000028,232.55500000000006
233.8949999999997,233.67900000000006,232.7819999999996
234.70550000000026,234.957,233.67499999999978
232.49999999999997,233.49200000000005,232.66099999999972
231.36200000000022,231.61100000000036,230.4589999999997
231.91800000000032,231.03500000000008,229.55899999999994
232.7965000000002,232.57000000000025,231.97100000000023
233.0895000000002,233.02399999999977,232.16399999999993
232.96000000000018,233.09499999999983,232.19199999999967
233.2324999999998,233.04199999999986,232.06000000000014
233.18400000000028,233.37999999999985,232.38499999999996
233.03150000000002,232.75699999999978,232.0650000000001
233.0185000000003,232.90299999999976,232.35799999999978
233.91799999999978,233.0730000000002,232.28299999999982
233.8460000000003,233.91900000000024,232.50900000000013
232.07999999999976,233.23799999999974,231.95800000000028
231.44249999999982,231.49800000000022,230.35000000000022
230.96600000000012,231.3889999999999,230.02800000000008
232.27300000000025,231.1409999999999,229.84499999999983
233.45500000000033,233.23699999999974,232.13500000000033
233.22299999999987,233.58000000000018,232.40099999999973
233.18349999999998,232.86500000000015,231.341
232.55549999999985,232.77999999999986,231.4859999999997
231.81899999999985,232.24299999999974,230.99399999999972
232.52350000000033,232.11399999999992,231.28900000000024
233.82849999999985,233.45,232.23199999999963
234.37500000000026,234.52500000000026,233.21299999999974
234.49249999999975,234.55000000000027,233.44199999999978
234.45499999999996,234.5469999999999,233.53499999999977
233.79800000000003,234.01499999999982,232.62799999999982
232.774,233.24500000000018,231.84
233.07599999999977,232.9780000000003,231.46600000000026
234.37599999999978,234.1449999999999,232.76499999999984
234.68099999999973,235.00099999999966,233.91899999999976
232.7079999999998,233.60100000000003,232.4539999999997
231.3804999999998,231.50900000000001,230.8739999999998
231.39350000000002,231.18900000000002,230.68299999999982
230.77549999999997,231.36800000000028,230.30700000000007
230.59000000000006,230.93999999999988,228.65299999999976
231.36700000000002,230.9529999999997,227.66299999999973
231.4364999999998,231.62600000000023,228.5700000000001
231.40750000000023,231.33499999999978,229.98299999999975
229.17800000000022,230.77299999999966,230.4890000000001
227.87099999999973,228.23199999999997,228.33500000000026
227.5094999999999,227.4990000000003,227.38400000000027
227.73249999999985,227.9319999999999,226.77099999999996
228.53249999999983,228.784,228.4279999999997
228.3220000000003,229.2729999999997,228.82899999999972
227.0490000000001,228.0789999999997,227.581
228.92899999999992,228.29933333333315,227.45966666666635
230.55749999999972,230.87500000000009,229.88800000000032
231.14041666666645,231.2967499999999,230.14383333333328
232.0424999999996,232.16500000000008,230.28300000000021
230.91350000000028,232.2429999999999,230.43299999999982
229.83849999999984,230.153,227.74099999999999
231.85099999999966,231.08500000000012,228.5909999999998
234.1474999999998,232.5470000000003,229.7299999999998
235.26150000000027,234.8400000000003,232.37100000000027
235.94649999999993,236.065,233.95100000000014
236.30050000000014,236.12600000000012,234.27300000000022
236.9284999999999,236.9660000000002,235.4030000000004
235.78349999999972,236.44999999999973,235.12199999999996
236.3194999999999,235.67000000000024,234.08100000000016
236.62450000000024,236.82600000000025,235.96900000000008
238.85549999999995,237.28899999999985,236.88499999999985
240.21249999999986,240.1619999999996,238.4650000000003
239.47050000000027,240.4060000000002,238.82799999999963
239.14499999999987,239.33600000000015,237.9859999999999
239.78800000000007,240.0819999999996,238.7950000000002
239.45649999999983,240.1679999999997,238.8289999999997
239.28849999999966,238.80699999999982,238.0080000000003
241.49450000000004,240.8979999999998,239.56699999999984
242.8359999999998,242.23800000000026,240.72699999999995
243.17850000000035,243.0199999999999,241.22900000000013
243.63449999999972,243.43400000000022,239.95
244.15949999999972,243.60700000000006,240.31299999999973
244.60999999999996,244.71200000000002,242.7189999999997
244.29049999999992,244.6610000000002,242.99900000000017
244.29399999999998,244.43699999999976,242.97699999999978
244.08150000000023,244.08299999999977,243.06699999999984
243.05300000000025,242.9540000000002,241.91899999999984
241.28649999999968,241.94599999999977,238.7620000000001
239.99100000000013,240.28599999999966,239.2489999999999
239.0219999999998,239.31499999999994,238.1280000000002
237.8970000000002,238.06199999999967,236.28400000000002
236.37100000000027,237.07399999999973,235.69899999999996
236.25949999999997,235.75499999999982,234.44800000000006
235.80200000000005,236.26799999999977,234.40300000000028
235.28450000000015,235.53700000000003,233.52200000000005
236.0645000000003,236.1649999999997,234.2829999999998
234.99150000000023,235.10599999999985,233.00600000000023
235.92349999999976,235.675,233.05999999999983
235.36250000000015,235.9649999999999,234.30300000000017
232.52149999999972,233.94300000000024,232.31499999999986
230.78200000000015,231.57300000000023,229.93800000000027
230.66199999999998,230.99899999999982,228.9660000000002
231.04749999999981,231.07000000000022,229.18000000000012
230.94499999999994,231.26499999999984,228.27700000000007
228.62799999999984,229.8520000000002,227.8919999999997
227.34399999999997,227.9800000000002,226.789
226.86450000000005,227.12999999999974,226.9639999999997
227.26649999999998,227.0279999999999,226.5429999999999
226.90499999999972,227.7699999999998,226.59200000000016
225.64249999999984,226.4009999999997,224.79799999999966
226.37349999999967,226.1300000000001,223.88300000000024
227.11749999999995,226.8069999999998,224.06500000000023
228.24199999999982,228.14200000000017,223.96299999999985
228.6520000000003,228.52300000000037,222.88199999999998
228.4654999999999,228.8539999999998,225.08999999999978
227.10599999999985,227.75400000000016,225.8599999999999
225.86049999999986,226.3860000000002,225.04700000000014
225.78950000000023,226.03000000000011,225.14800000000037
225.74049999999997,226.1020000000003,225.69100000000037
225.09300000000027,225.8940000000001,225.59900000000025
225.84049999999985,225.9399999999997,225.70000000000022
226.59750000000025,226.5690000000003,225.64499999999975
227.73050000000003,228.1329999999999,226.93399999999968
228.3704999999999,228.73600000000013,227.52400000000017
228.52100000000024,229.30199999999977,227.41200000000012
228.22599999999977,228.6909999999999,227.47100000000006
228.59049999999988,228.70599999999985,228.01600000000036
229.48650000000006,229.3824999999998,229.0720000000001
229.8840000000003,230.18099999999984,229.19100000000006
229.77199999999985,229.8700000000003,228.45999999999967
229.50000000000023,230.23500000000004,229.487
228.0174999999996,229.23299999999983,228.50000000000014
227.81399999999968,228.02000000000018,227.3570000000003
228.04800000000014,228.30499999999992,227.5040000000002
228.77200000000033,228.56699999999987,228.22200000000012
229.4105000000002,229.17800000000014,229.4309999999998
230.4115000000002,230.38399999999984,230.2390000000002
230.84900000000016,231.06300000000002,230.44099999999983
230.65249999999963,230.52599999999998,229.68399999999968
231.68999999999963,231.45600000000005,230.27999999999997
231.56999999999988,231.95000000000022,231.45699999999994
229.44150000000027,230.75900000000019,230.42500000000007
227.23699999999994,228.38499999999988,228.2770000000003
227.75900000000004,227.30899999999997,229.1840000000002
228.03000000000023,227.0739999999999,229.472
230.40299999999976,228.43000000000018,230.13400000000027
231.0095,230.80800000000016,230.021
231.9914999999998,231.192,230.52200000000002
232.6729999999997,232.62900000000005,231.90499999999966
233.0495000000002,232.73599999999976,232.22799999999972
233.25549999999998,233.24800000000025,232.31399999999965
233.00099999999992,233.04999999999976,232.19200000000018
231.98599999999985,232.2380000000001,231.43299999999977
231.5195000000001,231.63799999999995,231.15300000000033
231.69800000000004,231.49099999999999,230.39400000000012
232.1334999999998,232.07800000000026,230.39300000000017
232.25200000000007,231.99899999999988,230.99799999999993
233.13200000000026,232.84300000000002,231.9169999999998
233.16200000000012,233.3539999999999,232.12700000000018
232.37649999999994,232.6000000000002,231.42599999999982
232.2564999999998,231.86399999999992,230.92099999999965
232.15749999999977,232.11100000000013,231.61100000000002
232.53000000000026,232.23000000000025,231.5569999999998
232.96849999999986,232.77499999999998,231.5390000000002
232.94849999999988,233.24600000000018,232.0829999999999
232.6969999999999,232.2709999999999,231.27599999999993
233.3244999999999,232.88400000000016,231.70400000000024
233.68250000000037,233.91900000000012,232.65499999999972
234.56799999999978,234.3650000000002,232.889
233.02550000000022,234.22400000000033,232.86099999999976
232.48350000000013,232.3120000000003,231.05799999999996
232.98399999999987,233.11299999999974,231.1729999999999
232.37900000000013,232.62300000000013,231.27500000000032
232.48799999999974,232.3679999999999,231.28400000000008
231.07849999999996,231.7060000000003,230.82899999999998
230.23050000000003,230.41000000000025,229.65499999999983
230.2969999999998,230.18600000000018,228.91100000000017
231.1195000000002,230.79600000000025,229.49899999999988
231.40800000000002,231.9390000000002,230.6840000000002
231.05450000000022,231.31299999999976,230.08000000000027
231.68950000000027,231.351,229.92699999999977
233.02199999999976,232.64099999999974,230.9339999999997
233.21850000000006,233.0660000000003,231.9580000000002
233.7809999999998,233.495,232.50600000000017
233.271,233.60699999999986,232.7610000000003
232.0540000000002,232.37200000000016,231.58899999999994
232.0869999999997,232.3550000000002,230.94300000000018
231.75599999999974,231.6819999999999,230.16700000000012
231.52500000000015,231.81199999999976,228.6659999999999
230.9744999999999,231.07000000000025,227.97700000000023
230.72600000000008,231.05200000000022,228.1810000000002
230.6440000000002,230.2369999999999,228.74899999999982
229.83949999999987,230.21999999999983,230.26299999999983
229.69949999999983,229.74400000000006,228.96500000000015
229.16549999999995,229.39300000000003,227.55399999999983
230.53450000000032,229.18699999999987,228.99500000000012
231.72450000000015,231.46900000000014,230.85399999999998
230.4210000000002,231.19899999999998,230.023
228.05149999999986,229.40800000000024,228.465
227.35049999999978,228.17200000000014,227.63300000000018
226.68199999999968,227.3349999999998,226.54099999999974
226.10999999999996,226.6400000000001,225.36299999999986
227.1020000000002,226.70100000000025,226.44799999999995
230.60649999999976,229.54000000000005,228.37299999999996
230.51200000000034,231.45399999999998,229.78099999999995
230.10100000000028,230.08299999999977,227.81300000000027
230.8814999999999,230.63399999999984,228.12599999999986
231.38500000000022,231.1739999999998,226.99499999999978
232.47799999999995,232.26100000000014,229.12199999999982
232.29350000000028,232.96849999999972,231.3020000000001
231.65149999999966,232.03100000000018,230.11000000000018
231.66050000000007,231.91600000000017,230.5859999999999
231.7410000000001,231.77900000000022,230.21100000000024
231.18299999999985,231.06099999999978,229.68899999999996
230.40399999999968,230.35300000000032,229.1390000000003
231.82250000000013,231.1090000000002,230.12600000000023
232.8650000000004,232.31300000000024,231.4779999999997
233.61150000000035,233.33699999999982,232.61000000000033
232.6674999999998,232.89800000000005,231.74800000000013
231.96600000000018,232.05250000000018,230.74899999999982
231.637,231.69999999999996,230.2440000000002
231.5100000000001,231.42900000000006,230.2659999999998
231.0465000000001,231.3500000000002,229.68700000000038
230.86700000000016,230.91600000000003,229.02799999999985
231.66250000000028,231.06100000000026,229.75100000000003
234.13100000000006,233.03000000000023,231.15500000000017
235.90499999999983,235.59899999999968,233.1180000000001
236.44000000000003,236.43299999999988,234.0979999999998
236.02150000000023,236.1640000000002,234.74599999999975
236.16299999999993,235.7050000000001,234.14700000000016
235.69049999999996,235.93000000000012,234.31600000000017
234.38900000000015,234.51899999999972,232.63200000000026
232.30999999999986,232.421,228.31
231.8684999999998,231.77700000000013,227.92100000000025
233.26250000000005,232.64299999999966,227.9649999999999
235.87649999999988,234.45799999999977,232.15700000000018
237.89300000000003,237.58099999999973,236.24599999999987
237.25250000000017,237.505,236.35700000000037
238.80750000000012,238.31599999999978,237.55799999999982
238.26150000000035,238.05199999999977,236.82600000000005
237.22450000000003,237.34299999999985,236.2660000000002
235.59000000000003,235.93899999999988,234.78000000000023
234.2945,234.7299999999999,233.00699999999995
232.4320000000002,233.084,231.523
231.3665000000002,231.62499999999977,229.60499999999993
231.83999999999972,231.7599999999998,229.14700000000022
231.35800000000035,231.9910000000002,229.36899999999972
230.00049999999973,230.57800000000003,227.92500000000007
229.60899999999984,229.82799999999978,228.3350000000003
229.68050000000005,230.13600000000008,228.37299999999982
227.99550000000013,229.03700000000023,228.35699999999994
228.32300000000006,227.28300000000024,226.61899999999972
227.5485000000003,228.23300000000017,226.66200000000003
226.12699999999984,226.20799999999974,225.64699999999976
226.4859999999998,225.22799999999978,225.78900000000027
226.31399999999965,226.09599999999983,226.0419999999998
226.61550000000017,226.5989999999998,226.19499999999996
225.70750000000015,226.0319999999999,224.4510000000002
225.47249999999974,225.24099999999973,222.53000000000023
226.33749999999966,225.4779999999997,223.99399999999972
226.86449999999996,226.28299999999993,225.53800000000004
227.91600000000003,227.74199999999982,228.3340000000001
228.1394999999998,227.49599999999975,227.6719999999998
229.3204999999998,228.9479999999999,228.8480000000002
230.01999999999978,229.65799999999967,229.56400000000016
228.84949999999992,229.6500000000002,228.59799999999993
228.03250000000014,228.30000000000004,226.52100000000016
229.17049999999978,229.28300000000013,227.086
229.53249999999977,229.8290000000002,227.98899999999995
229.52000000000015,229.86199999999968,228.82100000000025
228.67699999999982,229.38799999999975,228.72400000000027
228.18699999999998,227.93499999999977,227.9219999999997
229.10500000000008,228.60299999999998,228.47200000000032
230.35850000000013,230.15199999999976,229.15099999999975
230.2375,229.9230000000002,228.92799999999986
229.1140000000001,229.78899999999967,229.19699999999975
229.41450000000023,228.9993333333331,228.77166666666668
229.9079999999998,229.88899999999975,229.44999999999985
229.7164999999998,229.61999999999966,229.46599999999984
229.90049999999965,229.86199999999974,229.71599999999998
228.8625000000002,229.3980000000001,229.29500000000024
228.39650000000032,228.12599999999972,227.933
229.4375,229.00400000000013,229.03999999999988
229.09299999999988,229.24100000000013,229.40000000000006
229.6619999999997,229.424,229.1610000000002
229.12650000000016,229.222,228.40700000000018
229.42099999999974,229.3249999999998,228.44199999999975
227.97500000000014,228.615,228.0449999999998
227.43649999999997,227.44400000000024,227.92700000000036
227.394,226.93599999999984,228.52400000000026
228.76100000000002,227.17799999999966,227.5919999999998
230.9835000000004,230.03400000000028,227.9400000000001
231.42549999999966,230.96699999999967,227.50699999999972
231.62400000000014,231.741,228.5429999999997
229.9024999999999,230.37199999999987,228.06200000000015
230.64900000000011,229.46500000000015,228.101
231.06349999999986,231.26399999999995,230.20200000000008
231.4336666666665,231.1460000000001,229.57733333333314
232.28100000000018,232.1749999999997,229.61499999999987
232.8495,232.525,229.50499999999974
233.38200000000015,233.23300000000026,230.3009999999999
233.39050000000026,233.17400000000026,231.16300000000018
233.31900000000002,233.36499999999978,232.24100000000013
231.66049999999981,232.47099999999966,231.53700000000018
231.74299999999977,231.26800000000017,230.28000000000003
232.1164999999998,232.24799999999982,231.19500000000033
232.0499999999997,232.45299999999986,231.644
232.71150000000034,232.04899999999984,231.27300000000014
234.09899999999973,233.79399999999984,232.81199999999976
234.2999999999997,234.51900000000026,233.38099999999991
234.27799999999985,234.29899999999998,233.24600000000007
234.82099999999977,235.35700000000026,234.11799999999985
232.28050000000036,233.64900000000026,232.67899999999986
231.95900000000023,231.75999999999982,230.69600000000025
232.6669999999999,232.63499999999985,231.67300000000014
233.19650000000016,232.77999999999983,231.75599999999974
233.61999999999992,233.27899999999983,232.59699999999998
233.62099999999973,234.0309999999998,232.68499999999972
232.3024999999998,232.8719999999999,231.00999999999985
231.90650000000016,231.9920000000001,230.60000000000025
232.2604999999997,232.40200000000019,231.00099999999986
232.56850000000003,232.738,231.50499999999994
232.56399999999977,232.75499999999968,231.65899999999968
232.48699999999997,232.66299999999973,231.3410000000001
232.75600000000028,233.3819999999999,231.9130000000003
231.48200000000026,231.9910000000001,230.81200000000027
230.7105000000001,230.87199999999976,230.101
231.46750000000014,231.30399999999995,230.53399999999988
231.10649999999984,231.29200000000014,230.32499999999968
229.9215000000003,230.07699999999988,229.60699999999983
229.92099999999974,230.4489999999997,229.87499999999977
230.12599999999986,230.24799999999973,229.72400000000005
230.498,230.57999999999993,229.4770000000002
229.28399999999993,229.72899999999987,227.08899999999983
229.29200000000003,229.07099999999977,226.0199999999997
229.0525000000003,229.25399999999973,227.20500000000027
228.01750000000018,228.79899999999995,228.65900000000033
228.2810000000003,227.43799999999976,227.636
229.81549999999967,229.16100000000014,228.78200000000012
228.84799999999996,229.43899999999994,229.30299999999997
229.37049999999974,228.80000000000018,228.7140000000002
228.98450000000005,229.6649999999996,229.50799999999967
228.18950000000004,228.68099999999967,228.61099999999973
227.75049999999996,228.35600000000005,227.8880000000001
227.69150000000008,227.91300000000012,227.54099999999977
227.864,227.83599999999984,227.35899999999984
229.34650000000013,228.43399999999997,227.62999999999982
231.48550000000006,231.11399999999998,229.85300000000018
231.55699999999968,231.4760000000002,229.82999999999976
229.35349999999994,230.66299999999984,229.3580000000003
230.80100000000022,229.327,228.04600000000016
232.49799999999988,232.22499999999997,230.41100000000014
233.4910000000001,233.14899999999994,231.22199999999987
233.8995000000002,233.847,230.2809999999997
236.03650000000027,234.39500000000027,231.6090000000003
235.3854999999997,236.33299999999997,234.57599999999994
233.19649999999973,233.87000000000012,232.73099999999977
232.56249999999974,232.15299999999982,231.01899999999972
234.01000000000005,233.17900000000031,231.3019999999999
233.16899999999973,233.68999999999974,232.17399999999972
231.67049999999975,232.22099999999983,230.02500000000006
232.54549999999966,232.00499999999997,228.63899999999978
233.50050000000022,232.8329999999998,229.51099999999974
234.35350000000003,233.38100000000028,231.23199999999972
234.1055000000002,234.4609999999998,232.61
235.22600000000014,234.28400000000028,232.61600000000027
235.59949999999975,235.73299999999975,234.07800000000015
235.71100000000035,234.92199999999968,233.83999999999972
239.24900000000005,237.81100000000026,236.72600000000008
242.7700000000001,241.61300000000026,239.81000000000017
244.59050000000016,244.01099999999977,242.84200000000004
242.22349999999977,242.90899999999988,241.30800000000025
237.19999999999982,239.164,237.81500000000037
232.05450000000027,233.2640000000002,231.1619999999999
230.7854999999998,230.57800000000006,228.5800000000001
232.5114999999999,231.4190000000002,230.50200000000024
232.99550000000013,232.7430000000001,231.6330000000003
231.49300000000005,231.61399999999992,231.33099999999988
230.90200000000016,229.58099999999976,231.61600000000027
229.2594999999997,228.92800000000028,230.65599999999978
228.77499999999972,227.43499999999983,228.7580000000002
228.99100000000024,227.80099999999982,228.91499999999974
231.04000000000022,228.99399999999994,230.04199999999972
231.46949999999998,230.7840000000002,230.3949999999999
229.88399999999967,229.94200000000015,229.05200000000016
229.47849999999988,229.23100000000025,228.34300000000007
229.84249999999997,229.23399999999975,228.16299999999998
230.52199999999976,230.24699999999982,228.62700000000027
229.8694999999998,230.03200000000018,228.20100000000025
229.22349999999983,229.43999999999997,227.4680000000002
228.57700000000006,228.8040000000001,227.49099999999999
228.56800000000007,228.64600000000016,227.60600000000005
228.33500000000012,228.1660000000002,227.83500000000012
229.83200000000016,228.78049999999993,228.04400000000004
230.14650000000006,229.87599999999978,229.394
228.67549999999974,229.176,228.3739999999997
227.2324999999997,227.24099999999999,225.58000000000018
226.69349999999977,226.43100000000013,224.21300000000022
225.5760000000002,225.54600000000002,224.03499999999994
224.59250000000023,224.42900000000017,224.4799999999999
224.94300000000018,223.9809999999999,225.15200000000013
225.41899999999976,224.72700000000023,225.2619999999999
225.4435000000003,225.01700000000022,225.30600000000035
225.9039999999997,226.0789999999998,225.8270000000003
225.96500000000023,225.8969999999998,225.77600000000012
225.9415000000002,225.98900000000012,225.39300000000011
225.78500000000022,225.7710000000003,224.47700000000026
226.72200000000024,226.03599999999972,225.72900000000018
227.3895000000002,227.34900000000005,226.67999999999995
227.64949999999982,227.64499999999995,227.00200000000018
227.1610000000002,228.06199999999998,227.762
226.65299999999985,226.71000000000032,229.13200000000012
226.94949999999997,226.1769999999999,230.00399999999988
226.3755,225.81500000000003,228.66300000000024
226.1415000000002,225.13399999999976,228.7629999999999
226.36000000000033,225.45099999999965,230.45099999999994
229.72399999999993,225.37700000000004,230.4140000000001
230.08099999999976,229.93599999999995,230.5219999999999
228.99500000000026,228.93700000000018,228.8120000000003
228.78399999999982,229.19499999999982,228.93000000000012
228.99450000000007,229.14699999999976,228.84199999999967
228.9859999999997,229.01399999999984,229.80599999999973
229.21699999999979,228.78599999999983,230.24099999999981
229.41850000000028,229.07400000000024,230.36999999999998
227.20099999999985,227.9840000000002,229.96000000000004
226.7685000000001,225.99599999999998,229.15200000000027
228.07649999999995,226.1570000000003,228.55999999999966
229.68700000000018,228.73099999999994,229.30699999999976
230.40749999999986,230.2710000000003,229.72000000000014
229.35100000000006,230.04599999999985,229.97799999999984
228.27000000000032,227.89199999999965,230.3379999999999
228.50299999999967,227.3239999999997,229.8799999999997
230.44699999999983,228.543,230.93500000000014
231.25949999999997,229.91299999999973,232.00499999999982
232.89300000000014,231.07999999999984,232.28899999999993
231.3185000000002,232.26600000000005,231.28999999999996
230.76550000000006,230.81899999999976,229.95400000000015
230.4795000000002,230.78100000000018,229.9970000000002
230.90650000000028,230.13899999999973,229.865
231.98650000000023,231.50299999999973,230.67999999999978
232.77099999999984,232.6429999999998,231.60700000000026
232.47499999999982,232.59300000000013,231.66100000000023
232.21050000000017,232.41499999999982,231.3459999999999
231.46500000000023,231.62100000000018,230.20500000000007
231.26599999999976,231.1330000000002,228.91300000000012
231.7420000000001,231.69099999999983,230.5380000000002
231.62499999999974,231.59600000000012,230.52100000000027
231.88250000000005,231.78599999999983,230.72799999999995
232.42000000000021,232.07499999999985,231.08300000000025
232.6630000000002,232.51899999999983,231.73199999999983
231.78049999999985,232.5979999999998,231.45300000000026
230.45949999999996,229.97299999999984,230.0010000000003
230.92550000000003,230.77400000000026,229.99300000000014
231.18000000000015,231.29199999999972,230.31600000000003
231.95500000000015,231.27999999999972,230.4789999999998
232.46500000000012,232.3490000000002,231.29099999999977
232.37300000000022,232.342,231.2740000000002
232.01050000000018,232.0960000000002,230.87500000000014
232.36899999999991,232.21250000000006,230.78100000000035
231.90699999999987,232.25300000000027,230.16799999999995
232.26649999999987,232.00000000000023,230.57000000000033
232.6250000000001,232.6200000000003,231.56799999999987
231.3114999999997,231.94500000000028,230.77100000000002
231.2225000000002,230.91499999999968,229.84099999999998
232.19350000000003,231.95,230.43799999999996
232.56099999999978,232.54099999999988,230.74500000000023
232.5554999999997,232.9649999999999,231.36300000000014
231.83749999999975,232.00800000000007,230.57300000000004
231.23549999999975,231.65200000000002,230.09900000000002
231.21899999999968,231.29499999999982,229.74000000000007
231.74100000000038,231.651,230.19499999999988
231.93349999999987,231.80299999999997,230.10100000000006
230.801,231.30500000000032,230.13099999999974
229.16449999999995,229.856,228.80500000000015
228.3525000000002,228.51100000000014,227.28600000000006
230.2104999999999,229.5319999999998,228.72000000000014
231.69999999999985,231.3279999999997,229.7469999999999
231.64950000000022,232.1459999999997,228.812
231.6209999999998,231.59100000000024,228.6890000000002
230.77249999999978,231.06999999999982,229.53200000000018
230.14850000000015,230.65700000000027,230.07900000000026
229.85949999999968,230.13300000000004,229.2239999999998
